# Time (s),Altitude AGL (m),Speed - Velocity Magnitude (m/s),acceleration Magnitude (m/s²),Pressure (Pa)
1.305209,29.757598,49.477681,44.757207,100000.000000
1.314321,30.207413,49.884306,44.498909,100000.000000
1.321819,30.580341,50.221831,45.534861,100000.000000
1.329317,30.955801,50.563835,45.694135,100000.000000
1.336815,31.333825,50.909327,46.466382,100000.000000
1.345571,31.778535,51.317375,46.747371,100000.000000
1.354327,32.226805,51.726718,46.763243,100000.000000
1.363083,32.678639,52.135914,46.714684,100000.000000
1.383663,33.754726,53.100670,47.052652,100000.000000
1.404243,34.850628,54.071118,47.271339,100000.000000
1.424823,35.966433,55.044000,47.293075,100000.000000
1.454154,37.591157,56.432632,47.396584,100000.000000
1.483486,39.256507,57.825432,47.627173,100000.000000
1.512817,40.962548,59.216692,47.162464,100000.000000
1.516767,41.195432,59.403293,47.352423,100000.000000
1.520718,41.429052,59.590656,47.549561,100000.000000
1.524668,41.663411,59.778423,47.558664,100000.000000
1.532569,42.134351,60.155078,47.835140,100000.000000
1.540470,42.608265,60.533604,48.035418,100000.000000
1.548371,43.085163,60.912983,48.053938,100000.000000
1.562004,43.915069,61.563181,47.387613,100000.000000
1.575638,44.753787,62.209519,47.492166,100000.000000
1.586122,45.404786,62.709986,48.043017,100000.000000
1.596607,46.061070,63.220515,49.417490,100000.000000
1.607091,46.722739,63.739513,49.664095,100000.000000
1.617576,47.389844,64.259917,49.689919,100000.000000
1.628060,48.062377,64.777193,49.070680,100000.000000
1.638545,48.740296,65.289461,48.737576,100000.000000
1.652718,49.665269,65.981189,48.963531,100000.000000
1.666892,50.600088,66.681519,49.958249,100000.000000
1.677932,51.335141,67.231919,49.855205,100000.000000
1.688973,52.076257,67.781781,49.864973,100000.000000
1.700013,52.823430,68.330909,49.725875,100000.000000
1.714515,53.814065,69.053387,50.033490,100000.000000
1.729017,54.815206,69.781711,50.538095,100000.000000
1.743518,55.826941,70.516316,50.905600,100000.000000
1.766020,57.417959,71.661447,51.011618,100000.000000
1.783857,58.697368,72.565171,50.463247,100000.000000
1.798179,59.736257,73.287028,50.490079,100000.000000
1.812500,60.785499,74.012370,50.953749,100000.000000
1.826822,61.845179,74.745819,51.626603,100000.000000
1.838208,62.695213,75.333004,51.666535,100000.000000
1.849595,63.551896,75.914557,50.637484,100000.000000
1.860981,64.415165,76.490627,50.703180,100000.000000
1.872368,65.285001,77.068984,51.040932,100000.000000
1.883754,66.161443,77.651701,51.470517,100000.000000
1.895141,67.044540,78.238671,51.789219,100000.000000
1.915750,68.659991,79.311160,52.451814,100000.000000
1.930742,69.849018,80.094418,52.202116,100000.000000
1.945734,71.049779,80.877806,52.467429,100000.000000
1.960725,72.262299,81.664248,52.607826,100000.000000
1.984543,74.212967,82.924485,53.373448,99983.351833
2.001031,75.581025,83.801952,53.210422,99968.263633
2.017520,76.963549,84.680954,53.554458,99953.015877
2.034009,78.360580,85.563379,53.620168,99937.608127
2.053462,80.027561,86.609170,54.029835,99919.223114
2.066637,81.168087,87.318554,53.782464,99906.644345
2.079812,82.317907,88.021944,53.113007,99893.963069
2.092988,83.476961,88.722353,53.323657,99881.179947
2.106163,84.645253,89.426406,53.660444,99868.294939
2.119338,85.822851,90.137286,54.354612,99855.307298
2.130298,86.809621,90.730790,54.043302,99844.424286
2.141258,87.802869,91.321468,53.833214,99833.469832
2.152219,88.802563,91.909380,53.532879,99822.444280
2.173827,90.792194,93.061787,53.209894,99800.500788
2.195435,92.806643,94.211533,53.276386,99778.283591
2.209509,94.132129,94.966288,54.035876,99763.664902
2.223583,95.468278,95.730651,54.636542,99748.928613
2.237658,96.815186,96.499230,54.629424,99734.073669
2.251732,98.172876,97.267195,54.543847,99719.099810
2.265806,99.541329,98.033388,54.372459,99704.007237
2.279881,100.920515,98.797038,54.177585,99688.796302
2.303427,103.251802,100.071404,54.136286,99663.084716
2.326973,105.612949,101.343053,53.859875,99637.043807
2.346566,107.600404,102.402718,54.469646,99615.124309
2.366159,109.608662,103.477164,55.252304,99592.975391
2.385752,111.637993,104.562236,55.421307,99570.594052
2.405344,113.688491,105.645227,55.050854,99547.979264
2.428600,116.149712,106.923360,54.920278,99520.834638
2.451857,118.640473,108.198564,54.751026,99493.364225
2.475113,121.160694,109.469349,54.540469,99465.568899
2.498369,123.710327,110.742275,55.065992,99437.449181
2.516884,125.761332,111.758940,54.610095,99414.828804
2.530613,127.294102,112.512234,55.344289,99397.924006
2.544341,128.837214,113.276048,55.924282,99380.905131
2.558069,130.390778,114.041863,55.494207,99363.770995
2.571797,131.954773,114.803276,55.530048,99346.521810
2.585525,133.529154,115.564146,55.292907,99329.158084
2.599253,135.113913,116.323891,55.483969,99311.679893
2.612981,136.709057,117.086297,55.597145,99294.087177
2.632283,138.969455,118.156593,55.325670,99269.157410
2.651585,141.250309,119.218011,54.678609,99244.002050
2.666204,142.991347,120.018796,54.899142,99224.800268
2.680824,144.744059,120.824276,55.322002,99205.469737
2.695443,146.508515,121.634647,55.569448,99186.009686
2.716652,149.089369,122.818253,56.072518,99157.545641
2.730422,150.778358,123.589236,55.939404,99138.917918
2.744192,152.477859,124.353785,55.139535,99120.174241
2.757962,154.187782,125.111144,54.897109,99101.315634
2.771732,155.908068,125.867238,54.958129,99082.342729
2.785502,157.638726,126.625664,55.238183,99063.255436
2.799272,159.379796,127.387582,55.468287,99044.053307
2.817884,161.749758,128.418509,55.355925,99017.915168
2.836497,164.138771,129.445068,55.003459,98991.566923
2.855110,166.546729,130.464284,54.571855,98965.009744
2.878189,169.558822,131.722809,54.638593,98931.789593
2.901269,172.599874,132.988524,55.193843,98898.250059
2.920167,175.111544,134.029749,54.959849,98870.549035
2.939064,177.642743,135.062215,54.327131,98842.632639
2.957962,180.193285,136.085789,54.170468,98814.502905
2.976859,182.763078,137.109919,54.372058,98786.160845
3.006343,186.811036,138.720941,55.110972,98741.516224
3.029366,190.005141,139.990696,55.210177,98706.288687
3.052390,193.228395,141.261619,55.303069,98670.739656
3.075413,196.480798,142.532528,55.175446,98634.869150
3.098437,199.762259,143.794285,54.444274,98598.678162
3.103146,200.436919,144.050318,54.454651,98591.237390
3.107854,201.112779,144.306482,54.465008,98583.783377
3.112563,201.789841,144.562745,54.500234,98576.316111
3.117272,202.468106,144.819274,54.581629,98568.835585
3.126689,203.828246,145.333073,54.621503,98553.834697
3.136106,205.193210,145.847746,54.849363,98538.780612
3.145523,206.563009,146.364361,54.922753,98523.673202
3.154941,207.937658,146.881557,55.052409,98508.512303
3.164358,209.317155,147.398087,54.603125,98493.297934
3.175384,210.938366,147.998165,54.492484,98475.417723
3.186409,212.566153,148.597484,54.267048,98457.464982
3.197434,214.200509,149.194069,54.066555,98439.439794
3.208460,215.841413,149.791611,54.604761,98421.342390
3.219485,217.488910,150.396763,55.220081,98403.172271
3.230511,219.143083,151.007142,55.503305,98384.928514
3.241536,220.803966,151.618641,55.454852,98366.610760
3.252562,222.471555,152.229101,55.390762,98348.219048
3.268119,224.835897,153.086117,54.698893,98322.142902
3.283676,227.213426,153.931382,54.241115,98295.921312
3.299233,229.603989,154.773856,54.193021,98269.555977
3.314790,232.007602,155.616951,54.226184,98243.046706
3.330347,234.424277,156.462313,54.646041,98216.393386
3.345904,236.854071,157.314144,54.776255,98189.595361
3.361461,239.297053,158.163810,54.463805,98162.651903
3.377018,241.753132,159.008759,54.358636,98135.563992
3.392575,244.222289,159.857656,55.004941,98108.331848
3.396092,244.782248,160.051038,55.004789,98102.156103
3.399608,245.342882,160.244125,54.850543,98095.972906
3.403125,245.904191,160.436570,54.659482,98089.782277
3.406641,246.466171,160.628623,54.666969,98083.584238
3.413674,247.592145,161.012484,54.556500,98071.165963
3.420707,248.720794,161.394434,54.123401,98058.718168
3.427740,249.852109,161.774914,54.139032,98046.240987
3.437368,251.405097,162.295728,54.116804,98029.113195
3.446996,252.963068,162.816526,54.136564,98011.930450
3.456624,254.526025,163.337934,54.244007,97994.692723
3.477075,257.862592,164.444443,54.033653,97957.893968
3.497526,261.221621,165.548779,54.033574,97920.847498
3.517977,264.603094,166.653928,54.115436,97883.553482
3.528141,266.292001,167.202748,53.951342,97864.926655
3.538305,267.986444,167.750487,53.904137,97846.238774
3.548469,269.686414,168.297679,53.845197,97827.489931
3.572117,273.663069,169.573547,54.138679,97783.631701
3.595766,277.669756,170.854505,54.279943,97739.442254
3.615308,281.003496,171.912895,54.126201,97702.674685
3.634850,284.357802,172.973063,54.466315,97665.680304
3.654393,287.732745,174.038811,54.702249,97628.458310
3.673935,291.128396,175.106053,54.624449,97591.007928
3.693477,294.544704,176.166341,53.995646,97553.329728
3.713019,297.981505,177.216713,53.615017,97515.425501
3.732562,301.438665,178.262844,53.567124,97477.296748
3.752104,304.916094,179.303942,53.105417,97438.944447
3.766986,307.577865,180.095034,53.336486,97409.587979
3.781869,310.251382,180.892061,53.907384,97380.101963
3.796751,312.936719,181.693080,53.876923,97350.485583
3.811633,315.633895,182.492573,53.705515,97320.738632
3.826516,318.342873,183.288673,53.423231,97290.861510
3.841398,321.063603,184.081127,53.217455,97260.854789
3.860674,324.604992,185.105866,53.251285,97221.797073
3.879950,328.166032,186.132104,53.374100,97182.522634
3.899226,331.746726,187.157367,53.150062,97143.031424
3.910732,333.893248,187.768133,53.169984,97119.357606
3.922237,336.046760,188.380046,53.348577,97095.606683
3.933742,338.207280,188.993869,53.501269,97071.778466
3.955825,342.374035,190.176812,53.775512,97025.823641
3.977909,346.566828,191.366766,54.133325,96979.581644
3.999993,350.785786,192.561609,54.215198,96933.051068
4.022076,355.030966,193.756963,54.176154,96886.231298
4.039746,358.446571,194.709602,53.780106,96848.560847
4.057416,361.878838,195.655617,53.423842,96810.706640
4.075086,365.327676,196.598247,53.394962,96772.669668
4.094565,369.148831,197.642792,54.140533,96730.526432
4.110789,372.346906,198.522631,54.370177,96695.255109
4.127013,375.559196,199.407105,54.826387,96659.827006
4.143237,378.785788,200.299286,55.283459,96624.241160
4.159461,382.026785,201.195407,55.227338,96588.496448
4.177917,385.731240,202.211750,55.003324,96547.640293
4.196374,389.454291,203.225940,55.079044,96506.579052
4.214830,393.195934,204.242957,55.283611,96465.312743
4.233286,396.956206,205.259622,54.928905,96423.840991
4.251742,400.735027,206.267189,54.357497,96382.164666
4.270198,404.532186,207.261850,53.525766,96340.286082
4.288654,408.347442,208.243700,53.080287,96298.207909
4.307111,412.180666,209.226568,53.764093,96255.931573
4.325567,416.032008,210.224948,54.604968,96213.455409
4.344023,419.901737,211.233703,54.752252,96170.776464
4.368149,424.988116,212.552264,54.624721,96114.679169
4.392274,430.105959,213.860782,53.878106,96058.234863
4.416400,435.254969,215.156274,53.949616,96001.446822
4.435813,439.420593,216.203403,54.034406,95955.504470
4.455225,443.606416,217.250588,54.021806,95909.339342
4.474638,447.812401,218.296599,53.920331,95862.951853
4.494051,452.038529,219.342043,54.043749,95816.342200
4.513463,456.284798,220.387600,53.746064,95769.510420
4.532876,460.551173,221.427987,53.744931,95722.456897
4.552288,464.837587,222.470439,53.852435,95675.182358
4.571701,469.144104,223.514539,53.883691,95627.686108
4.591984,473.665273,224.608507,54.224485,95577.822478
4.612267,478.208498,225.706882,54.213549,95527.715595
4.632551,482.773799,226.801489,53.850809,95477.365233
4.652834,487.361071,227.890748,53.793738,95426.772555
4.673117,491.970244,228.979776,53.783292,95375.938334
4.693400,496.601310,230.067529,53.636492,95324.862653
4.713684,501.254243,231.154327,53.755534,95273.545813
4.737031,506.637293,232.409522,53.968122,95214.176556
4.760379,512.049436,233.668259,54.016328,95154.486433
4.783727,517.490668,234.921895,53.459287,95094.475506
4.807075,522.960757,236.161003,52.868847,95034.146299
4.826089,527.436610,237.164660,52.895290,94985.451051
4.830843,528.558528,237.415719,52.933976,94973.621140
4.840350,530.805916,237.918323,53.004452,94949.923878
4.849857,533.058039,238.421211,53.017707,94926.176677
4.859364,535.314900,238.924257,53.030969,94902.379519
4.873689,538.724563,239.683777,53.211007,94866.426807
4.888015,542.145023,240.445831,53.424407,94830.360238
4.902340,545.576318,241.210356,53.577045,94794.179430
4.916666,549.018472,241.975930,53.573113,94757.884122
4.934341,553.280549,242.918677,53.314225,94712.943242
4.952017,557.559089,243.854931,52.798189,94667.828777
4.955169,558.323862,244.020966,52.796769,94659.764737
4.958321,559.089153,244.186808,52.712203,94651.695232
4.961474,559.854961,244.352414,52.627585,94643.620270
4.964626,560.621287,244.517839,52.589470,94635.539857
4.970931,562.155488,244.848663,52.597766,94619.362688
4.977235,563.691755,245.179326,52.570255,94603.163738
4.983540,565.230087,245.509927,52.568399,94586.943010
5.001162,569.540712,246.435287,52.680538,94541.490220
5.018783,573.867524,247.363441,52.882857,94495.866761
5.031897,577.098031,248.053072,52.664589,94461.803128
5.045011,580.337490,248.741094,52.529293,94427.645105
5.058125,583.585882,249.427763,52.432272,94393.392888
5.073577,587.424749,250.233982,52.178235,94352.914490
5.089029,591.275900,251.033508,51.560406,94312.306573
5.100973,594.261137,251.648574,51.573369,94280.829152
5.112916,597.253654,252.263151,51.587440,94249.274974
5.124860,600.253438,252.877040,51.463031,94217.644173
5.136804,603.260483,253.490732,51.483014,94185.936809
5.153146,607.386470,254.327568,51.169361,94142.430908
5.169487,611.525955,255.158537,50.695658,94098.782691
5.185829,615.678774,255.975636,49.496412,94054.993864
5.198489,618.904978,256.596474,48.665906,94020.975612
5.200625,619.450180,256.700331,48.667959,94015.226804
5.202762,619.995602,256.804156,48.670029,94009.475682
5.204898,620.541243,256.907972,48.672090,94003.722245
5.209171,621.633184,257.115461,48.621790,93992.208428
5.213444,622.726000,257.322355,48.430519,93980.685373
5.217716,623.819691,257.528734,48.318554,93969.153101
5.230699,627.148123,258.152599,47.946532,93934.056916
5.243682,630.484545,258.772502,47.673325,93898.876481
5.256664,633.828913,259.389054,47.438765,93863.612263
5.276573,638.972718,260.328007,47.043655,93809.374131
5.296481,644.134973,261.261559,46.836667,93754.941451
5.306004,646.610809,261.704703,46.470698,93728.835342
5.312920,648.411339,262.023417,45.964119,93709.849908
5.313940,648.677203,262.070064,45.695020,93707.046545
5.314961,648.943113,262.116460,45.425860,93704.242685
5.315981,649.209071,262.162589,45.156703,93701.438332
5.318022,649.741124,262.253680,44.363918,93695.828168
5.320063,650.273362,262.344294,44.365311,93690.216068
5.322104,650.805782,262.434751,44.366714,93684.602039
5.326094,651.847693,262.611475,44.369460,93673.615753
5.330085,652.890302,262.788206,44.372207,93662.622109
5.337657,654.869850,263.121544,43.977483,93641.749042
5.345228,656.851875,263.450211,43.184769,93620.849850
5.352800,658.836347,263.774638,42.654322,93599.924861
5.364584,661.929594,264.270255,41.675048,93567.308554
5.376368,665.028547,264.754946,40.758806,93534.632071
5.388152,668.133101,265.231275,40.160054,93501.896536
5.397674,670.645659,265.612560,39.984876,93475.403220
5.407196,673.161806,265.992439,39.919761,93448.872057
5.416718,675.681515,266.369378,39.531977,93422.303344
5.427477,678.533123,266.789995,38.933882,93392.234957
5.438237,681.389173,267.204783,38.380747,93362.119741
5.439702,681.778404,267.260561,38.050737,93358.015549
5.441167,682.167715,267.315896,37.720658,93353.910509
5.442633,682.557106,267.370762,37.390560,93349.804627
5.445563,683.336125,267.479300,36.860151,93341.590373
5.448493,684.115458,267.587285,36.861226,93333.372809
5.451423,684.895103,267.695088,36.862305,93325.151947
5.456744,686.311500,267.887063,35.820265,93310.216945
5.462064,687.728890,268.073558,34.642028,93295.271476
5.467384,689.147258,268.258231,34.643532,93280.315692
5.472705,690.566598,268.442301,34.645046,93265.349666
5.478025,691.986902,268.625278,34.394114,93250.373463
5.482447,693.168114,268.773862,33.318587,93237.918343
5.486869,694.349969,268.919483,32.700779,93225.456434
5.491291,695.532461,269.064119,32.701714,93212.987810
5.495713,696.715576,269.205728,31.785989,93200.512624
5.500135,697.899291,269.341097,30.011906,93188.031102
5.503721,698.859567,269.449020,30.012387,93177.905606
5.507307,699.820226,269.556489,30.012882,93167.776071
5.510893,700.781262,269.662170,29.328421,93157.642559
5.515142,701.920619,269.782438,27.799856,93145.628768
5.519391,703.060473,269.899101,27.135425,93133.609742
5.523641,704.200814,270.014565,27.135709,93121.585568
5.528406,705.480185,270.143086,27.136063,93108.095428
5.533171,706.760159,270.270728,26.848236,93094.598915
5.537936,708.040726,270.395081,25.686028,93081.096157
5.542701,709.321869,270.516202,25.185163,93067.587319
5.557260,713.239359,270.870080,23.511991,93026.279895
5.571818,717.161671,271.194954,21.419587,92984.921629
5.586377,721.088391,271.487820,19.117485,92943.516873
5.588808,721.744411,271.533250,18.535768,92936.599561
5.591238,722.400541,271.578267,18.535682,92929.681093
5.593669,723.056779,271.623147,18.535607,92922.761483
5.598530,724.369792,271.712775,18.535478,92908.916598
5.603392,725.683239,271.803290,18.716571,92895.067141
5.605816,726.338258,271.846644,17.983361,92888.160390
5.608240,726.993375,271.888219,17.250235,92881.252592
5.613088,728.303801,271.968885,16.115685,92867.434988
5.617064,729.378820,272.033243,16.115598,92856.099604
5.621040,730.454087,272.096320,15.801994,92844.761599
5.625016,731.529591,272.155813,14.613010,92833.421099
5.628992,732.605323,272.212543,14.022349,92822.078191
5.632968,733.681278,272.268354,14.022384,92810.732940
5.636944,734.757445,272.322322,13.443749,92799.385443
5.641262,735.926561,272.376607,12.164199,92787.057857
5.645581,737.095903,272.427940,11.652203,92774.727896
5.649899,738.265463,272.478292,11.652442,92762.395641
5.655413,739.758886,272.538255,10.549463,92746.648445
5.660926,741.252622,272.593263,9.657623,92730.897957
5.666439,742.746650,272.646064,9.658265,92715.144383
5.671953,744.240961,272.698364,9.659004,92699.387830
5.678800,746.097240,272.760468,8.909947,92679.814559
5.685647,747.953917,272.817906,8.086577,92660.237088
5.692495,749.810963,272.871229,7.645290,92640.655726
5.693864,750.182414,272.881170,7.242653,92636.739013
5.695234,750.553878,272.890600,6.840651,92632.822164
5.696603,750.925354,272.899487,6.439381,92628.905186
5.699342,751.668339,272.915783,5.741770,92621.070883
5.702081,752.411367,272.931406,5.742555,92613.236130
5.704820,753.154436,272.946806,5.743372,92605.400939
5.709601,754.451475,272.972913,5.625633,92591.724489
5.714381,755.748631,272.998046,5.426679,92578.046813
5.721650,757.721353,273.036806,5.460392,92557.245716
5.728920,759.694331,273.072086,4.801843,92536.441925
5.736189,761.667551,273.105729,4.707664,92515.635582
5.743459,763.641007,273.138835,4.711700,92494.954021
5.750728,765.614690,273.170963,4.558948,92474.654750
5.757998,767.588595,273.202213,4.457774,92454.353203
5.772079,771.412919,273.261147,4.341477,92415.020152
5.782853,774.339309,273.302499,3.951952,92384.922333
5.793627,777.266110,273.340690,3.707519,92354.820281
5.804400,780.193308,273.378191,3.768773,92324.714144
5.815174,783.120888,273.415474,3.783554,92294.604081
5.825948,786.048828,273.450679,3.539919,92264.490307
5.836721,788.977092,273.481128,3.047811,92234.373208
5.848909,792.290152,273.509339,2.527779,92200.298501
5.861098,795.603469,273.526948,1.800277,92166.221141
5.862858,796.082085,273.528556,1.802472,92161.298585
5.864619,796.560705,273.530128,1.804565,92156.376004
5.866379,797.039326,273.531690,1.806553,92151.453398
5.869900,797.996575,273.534812,1.810215,92141.608119
5.873421,798.953833,273.537833,1.791805,92131.762751
5.876943,799.911098,273.540000,1.647651,92121.917314
5.881997,801.285171,273.541435,1.564140,92107.785022
5.887051,802.659246,273.542229,1.565960,92093.652707
5.892105,804.033319,273.542464,1.560424,92079.520406
5.896298,805.173210,273.541888,1.561552,92067.796668
5.900491,806.313095,273.541319,1.560105,92056.072983
5.901158,806.494586,273.541229,1.559858,92054.206353
5.901826,806.676077,273.541139,1.559594,92052.339724
5.902093,806.748674,273.541103,1.559486,92051.593073
5.902360,806.821270,273.541067,1.559375,92050.846422
5.902894,806.966463,273.540995,1.559147,92049.353121
5.903001,806.995501,273.539157,17.241519,92049.054462
5.903107,807.024203,273.537340,17.241397,92048.759259
5.903212,807.052906,273.535523,17.241275,92048.464057
5.904268,807.339919,273.517355,17.240055,92045.512140
5.905324,807.626912,273.499188,17.238832,92042.560420
5.906380,807.913887,273.481022,17.237605,92039.608898
5.916937,810.782575,273.299435,17.225146,92010.104526
5.927495,813.649347,273.117973,17.212360,91980.619876
5.938053,816.514202,272.936638,17.199282,91951.154934
5.958561,822.073526,272.584777,17.173218,91893.977470
5.979069,827.625638,272.233411,17.146565,91836.874180
5.999577,833.170550,271.882548,17.119702,91779.844940
6.029468,841.239789,271.372046,17.080851,91696.853080
6.059360,849.293797,270.862619,17.043251,91614.017875
6.089252,857.332608,270.354252,17.007425,91531.338961
6.119143,865.356258,269.846922,16.973569,91448.815987
6.140917,871.191276,269.478009,16.950102,91388.803011
6.162691,877.018278,269.109616,16.927540,91328.872489
6.184464,882.837273,268.741729,16.905760,91269.024316
6.206238,888.648271,268.374338,16.884627,91209.258394
6.248655,899.945889,267.659998,16.844738,91093.062757
6.291073,911.213255,266.947449,16.805437,90977.178268
6.333491,922.450431,266.236675,16.765310,90861.604275
6.375908,933.657486,265.527693,16.723154,90746.340085
6.418326,944.834493,264.820544,16.678517,90631.384936
6.460743,955.981533,264.115272,16.631858,90516.737989
6.503161,967.098694,263.411904,16.584626,90402.398350
6.545579,978.186065,262.710438,16.538072,90288.365104
6.575862,986.083548,262.210792,16.505732,90207.139751
6.606145,993.965922,261.712096,16.474380,90126.069791
6.636429,1001.833217,261.214334,16.444071,90045.154922
6.666712,1009.685460,260.717487,16.415034,89965.607706
6.706316,1019.931669,260.069075,16.378974,89863.815499
6.745919,1030.152235,259.422141,16.344259,89762.278043
6.785523,1040.347210,258.776647,16.309895,89660.994827
6.825126,1050.516644,258.132573,16.275343,89559.965346
6.834506,1052.921312,257.980245,16.267085,89536.075887
6.843885,1055.324550,257.827996,16.258789,89512.200624
6.853264,1057.726360,257.675827,16.250452,89488.339549
6.880939,1064.805006,257.227285,16.225596,89418.015883
6.908614,1071.871242,256.779434,16.200344,89347.815502
6.936289,1078.925088,256.332278,16.174713,89277.738213
6.976504,1089.153153,255.683748,16.136903,89176.126256
7.016720,1099.355162,255.036702,16.098727,89074.773165
7.056935,1109.531175,254.391145,16.060634,88973.678326
7.097150,1119.681256,253.747077,16.023081,88872.841113
7.124876,1126.663965,253.303898,15.997702,88803.470539
7.152601,1133.634398,252.861418,15.972804,88734.221932
